TIC_ID,T_eff,Start_time,End_time,Peak_time(BJD),Amplitude,Duration(days),Flare_energy(erg),ED(s)
12418191,5640,1365.13413,1365.214687,2458365.144,0.589033626,0.080556464,9.22E+33,109965.8305
12418191,5640,1365.13413,1365.214687,2458365.145,0.591475924,0.080556464,9.22E+33,109965.8305
12418191,5640,1365.13413,1365.214687,2458365.141,0.543838206,0.080556464,9.22E+33,109965.8305
12418191,5640,1365.13413,1365.214687,2458365.142,0.559492564,0.080556464,9.22E+33,109965.8305
12418191,5640,1365.148019,1365.207742,2458365.149,0.642392073,0.059722895,5.46E+33,88275.22349
12418191,5640,1365.148019,1365.206353,2458365.151,0.672571062,0.058333991,5.24E+33,86593.12685
12418191,5640,1365.148019,1365.204964,2458365.152,0.698601334,0.056945086,5.01E+33,84882.7813
12418191,5640,1365.148019,1365.203576,2458365.154,0.718649659,0.055556182,4.79E+33,83122.3429
12418191,5640,1365.148019,1365.203576,2458365.155,0.73575629,0.055556182,4.79E+33,83122.3429
12419331,3630,1373.120484,1373.17604,2458373.122,0.71998227,0.055555643,1.05E+32,67367.4518
12419331,3630,1373.120484,1373.173262,2458373.125,0.925318581,0.052777861,9.74E+31,65337.46255
12419331,3630,1373.120484,1373.173262,2458373.123,0.777546987,0.052777861,9.74E+31,65337.46255
12419331,3630,1373.126039,1373.169095,2458373.127,0.954795404,0.043055624,6.97E+31,57256.97776
12419331,3630,1373.126039,1373.162151,2458373.134,1.41743189,0.036111169,5.05E+31,49818.92307
12419331,3630,1373.126039,1373.162151,2458373.133,1.299337157,0.036111169,5.05E+31,49818.92307
12419331,3630,1373.126039,1373.162151,2458373.129,1.139766713,0.036111169,5.05E+31,49818.92307
12419331,3630,1373.126039,1373.162151,2458373.132,1.162920602,0.036111169,5.05E+31,49818.92307
12419331,3630,1373.126039,1373.162151,2458373.13,1.147975972,0.036111169,5.05E+31,49818.92307
12419331,3630,1369.174631,1369.194075,2458369.176,0.384226189,0.019444627,6.57E+30,11302.03894
12419331,3630,1369.174631,1369.194075,2458369.177,0.560288963,0.019444627,6.57E+30,11302.03894
12419331,3630,1369.174631,1369.194075,2458369.179,0.615276292,0.019444627,6.57E+30,11302.03894
12419331,3630,1369.174631,1369.192686,2458369.18,0.637001121,0.018055725,5.82E+30,10650.44827
12419331,3630,1373.138539,1373.148262,2458373.14,1.430956612,0.009722237,4.00E+30,14716.94887
12421477,3461,1378.300996,1378.337107,2458378.304,0.067044319,0.036110918,7.17E+31,33051.05222
12421477,3461,1378.300996,1378.331551,2458378.305,0.099230075,0.030555393,5.55E+31,30426.67698
12421477,3461,1378.300996,1378.325996,2458378.307,0.176335847,0.024999867,3.96E+31,26433.60423
12421477,3461,1378.22183,1378.239885,2458378.225,0.017168525,0.018055461,6.49E+30,5088.179464
12421477,3461,1369.806548,1369.820437,2458369.808,0.004644428,0.013888992,2.46E+30,2252.296755
12421477,3461,1369.806548,1369.81766,2458369.809,0.027663967,0.011111194,1.77E+30,2198.052522
12422003,6565.399902,1378.33143,1378.335597,2458378.333,0.003981788,0.004166636,,972.7821105
12423835,3190,1370.093999,1370.157888,2458370.1,0.223643158,0.063889269,3.05E+31,36001.79514
12423835,3190,1370.093999,1370.149554,2458370.101,0.270258401,0.055555887,2.42E+31,33077.80512
12423835,3190,1355.97153,1355.990975,2458355.974,0.553328306,0.019444963,6.54E+30,28062.26432
12423835,3190,1367.01202,1367.02591,2458367.015,0.480709823,0.013889098,2.47E+30,14647.99149
12423835,3190,1370.102332,1370.109276,2458370.104,0.288593746,0.006944486,5.42E+29,6250.136385
12423835,3190,1371.012059,1371.017614,2458371.013,0.356319446,0.005555579,2.57E+29,3924.239213
12470520,5226,1378.575869,1378.580036,2458378.577,0.00340159,0.004166641,3.34E+30,762.4104183
12471629,3213,1368.84816,1368.866216,2458368.85,0.011764412,0.018055763,2.61E+30,5407.580607
12471629,3213,1378.241238,1378.259294,2458378.245,0.011450398,0.018055481,1.97E+30,3867.893833
12471629,3213,1357.367382,1357.38266,2458357.372,0.010701275,0.015278178,1.39E+30,3181.428963
12474920,3509,1356.936733,1356.9534,2458356.941,0.023217954,0.016667086,5.88E+30,8807.440544
12474920,3509,1356.936733,1356.9534,2458356.94,0.015866178,0.016667086,5.88E+30,8807.440544
12474920,3509,1366.757753,1366.770253,2458366.759,0.008430787,0.012500188,1.83E+30,3215.224768
12474920,3509,1379.582784,1379.592506,2458379.586,0.016851495,0.00972216,1.72E+30,4397.06971
12474920,3509,1361.727116,1361.736838,2458361.73,0.012432393,0.009722403,1.16E+30,2483.605468
12509218,3192,1360.711771,1360.729827,2458360.713,0.018232409,0.018055887,3.47E+30,8739.612633
12509218,3192,1369.564671,1369.57856,2458369.567,0.05379749,0.013888976,1.78E+30,5545.209177
12509218,3192,1360.711771,1360.722883,2458360.715,0.125891074,0.011111315,1.70E+30,7095.1921
12509218,3192,1379.567433,1379.58271,2458379.57,0.032745224,0.015277661,1.67E+30,4393.354247
12509218,3192,1360.285375,1360.297875,2458360.288,0.020176833,0.012500236,6.89E+29,1811.959341
12509218,3192,1379.234102,1379.247991,2458379.238,0.001611809,0.013888786,3.41E+29,585.9022008
12509218,3192,1367.011867,1367.0202,2458367.013,0.017734515,0.008333446,2.90E+29,1099.254304
12509218,3192,1356.765855,1356.771411,2458356.767,0.026930255,0.005555688,1.05E+29,610.5357802
12880835,5780,1370.91227,1370.916437,2458370.914,0.002196088,0.004166583,6.73E+31,1067.059476
12931952,3171,1359.910921,1359.919255,2458359.912,0.040702384,0.008333311,1.79E+29,3666.719514
12931952,3171,1377.066218,1377.070384,2458377.068,0.049671069,0.004166547,4.03E+28,1789.204981
12967420,3147,1361.40402,1361.408187,2458361.405,0.051342061,0.004166654,2.99E+28,1177.166518
12972937,6383,1358.588709,1358.592876,2458358.59,0.001405089,0.004166669,1.88E+31,801.2378636
12996375,3064,1365.103949,1365.117838,2458365.105,0.16126732,0.013888804,3.99E+29,5360.560165
12996375,3064,1365.092838,1365.098394,2458365.094,0.240307808,0.005555522,5.69E+28,1999.814073
13023802,6022,1366.491313,1366.495479,2458366.493,0.003630756,0.004166633,2.83E+31,908.5650613
13060575,3565,1357.042855,1357.055355,2458357.047,0.003635237,0.012500061,1.83E+30,3249.248556
13066232,6078,1379.968892,1379.973058,2458379.97,0.002021461,0.00416655,1.74E+31,1351.302411
13066232,6078,1370.259397,1370.263564,2458370.261,0.00176728,0.004166596,1.43E+31,834.01069
13074670,5874,1361.619164,1361.628886,2458361.622,0.008792703,0.009722205,1.72E+31,726.3478502
13075679,4066,1379.417608,1379.498161,2458379.426,0.032009598,0.080553477,1.72E+33,99426.23907
13075679,4066,1379.431496,1379.492606,2458379.434,0.03777953,0.061109534,1.10E+33,84768.20747
13075679,4066,1379.431496,1379.492606,2458379.433,0.036900596,0.061109534,1.10E+33,84768.20747
13075679,4066,1379.431496,1379.492606,2458379.436,0.038176181,0.061109534,1.10E+33,84768.20747
13075679,4066,1379.431496,1379.491217,2458379.437,0.042104123,0.059720681,1.06E+33,83452.25039
13075679,4066,1379.438441,1379.488439,2458379.441,0.047706133,0.049998709,7.81E+32,73706.73102
13075679,4066,1379.438441,1379.488439,2458379.443,0.048997075,0.049998709,7.81E+32,73706.73102
13075679,4066,1379.438441,1379.488439,2458379.44,0.042853182,0.049998709,7.81E+32,73706.73102
13075679,4066,1379.446774,1379.485662,2458379.448,0.053424623,0.038887885,4.96E+32,60226.34135
13075679,4066,1379.449551,1379.481495,2458379.451,0.053975611,0.03194362,3.45E+32,51017.56375
13075679,4066,1379.449551,1379.481495,2458379.452,0.055973773,0.03194362,3.45E+32,51017.56375
13092066,5298.180176,1381.035625,1381.039791,2458381.037,0.003466682,0.004166561,4.62E+30,741.9260758
13098043,4896,1354.520568,1354.524735,2458354.522,0.001729129,0.004166716,4.30E+32,864.1087239
13098971,5645,1376.523238,1376.623236,2458376.525,0.024781753,0.099997759,2.17E+34,123246.6541
13098971,5645,1376.523238,1376.621847,2458376.529,0.029283511,0.098608901,2.13E+34,122389.6215
13098971,5645,1376.523238,1376.621847,2458376.526,0.026193151,0.098608901,2.13E+34,122389.6215
13098971,5645,1376.523238,1376.621847,2458376.53,0.030815254,0.098608901,2.13E+34,122389.6215
13098971,5645,1376.523238,1376.621847,2458376.527,0.026831681,0.098608901,2.13E+34,122389.6215
13098971,5645,1376.523238,1376.620458,2458376.532,0.032019672,0.097220044,2.08E+34,121423.0279
13098971,5645,1376.523238,1376.620458,2458376.533,0.033988898,0.097220044,2.08E+34,121423.0279
13098971,5645,1376.523238,1376.61768,2458376.534,0.037467885,0.094442328,1.98E+34,119350.2093
13098971,5645,1376.523238,1376.61768,2458376.536,0.039405202,0.094442328,1.98E+34,119350.2093
13098971,5645,1376.523238,1376.616291,2458376.541,0.045755197,0.09305347,1.94E+34,118214.1742
13098971,5645,1376.523238,1376.616291,2458376.537,0.041821258,0.09305347,1.94E+34,118214.1742
13098971,5645,1376.523238,1376.616291,2458376.54,0.044986393,0.09305347,1.94E+34,118214.1742
13098971,5645,1376.523238,1376.616291,2458376.539,0.044429919,0.09305347,1.94E+34,118214.1742
13098971,5645,1376.523238,1376.614902,2458376.543,0.04717523,0.091664613,1.89E+34,116988.782
13098971,5645,1376.523238,1376.614902,2458376.544,0.048549563,0.091664613,1.89E+34,116988.782
13098971,5645,1376.523238,1376.612125,2458376.545,0.050603423,0.088886897,1.79E+34,114371.9217
13138049,4960,1365.644243,1365.64841,2458365.646,0.004417936,0.004166659,1.95E+30,812.2987616
13141733,3466,1356.287267,1356.291434,2458356.289,0.011016091,0.004166709,1.72E+29,892.1281315
20891744,5155,1374.648359,1374.724748,2458374.65,0.011413249,0.076388883,2.84E+33,17723.42368
20891744,5155,1374.648359,1374.716415,2458374.651,0.018358135,0.06805555,2.38E+33,16984.59282
20891744,5155,1374.648359,1374.712248,2458374.654,0.028566925,0.063888885,2.15E+33,16468.94056
20891744,5155,1374.648359,1374.712248,2458374.653,0.024661313,0.063888885,2.15E+33,16468.94056
20891744,5155,1374.648359,1374.674748,2458374.655,0.036851724,0.026388888,3.97E+32,7580.289174
20891744,5155,1374.648359,1374.674748,2458374.657,0.038650402,0.026388888,3.97E+32,7580.289174
20891744,5155,1363.663523,1363.677412,2458363.668,0.014037943,0.013889144,5.44E+31,1410.454586
20891744,5155,1379.135846,1379.141402,2458379.137,0.011860022,0.005555526,7.86E+30,491.1543745
20892851,4700,1376.120612,1376.126168,2458376.122,0.00199573,0.005555549,4.70E+32,741.7834504
20892891,3516,1370.462256,1370.521978,2458370.465,0.018292843,0.059722686,4.76E+31,13566.52438
20892891,3516,1370.462256,1370.477534,2458370.466,0.097721098,0.015277897,5.26E+30,6910.487441
20892891,3516,1364.438552,1364.444107,2458364.44,0.047345847,0.005555659,3.20E+29,934.1267611
20897314,6217,1355.814706,1355.818873,2458355.816,0.002116909,0.004166787,1.31E+32,769.1427075
24265684,6228.330078,1348.483323,1348.493045,2458348.485,0.001632954,0.009722039,1.18E+32,1975.202968
24292848,6032.700195,1325.630574,1325.643074,2458325.633,0.009003645,0.012500184,4.73E+31,1509.380424
24693092,9016,1364.115395,1364.120951,2458364.117,0.002202828,0.00555546,7.19E+31,883.0815602
24693092,9016,1370.593047,1370.597214,2458370.594,0.002861019,0.004166584,5.81E+31,866.919614
24693528,8065,1348.975266,1349.094709,2458349.016,0.001691692,0.119442998,2.74E+35,6854.75329
24695725,,1355.807785,1355.825841,2458355.812,3.068267112,0.018055483,,3626.9833
24695725,,1356.530005,1356.538338,2458356.533,2.210174359,0.008333297,,1256.117633
24695725,,1358.967492,1358.986936,2458358.972,1.736618026,0.019444328,,2065.265575
24695725,,1359.99943,1360.010541,2458360.002,1.97623228,0.011111037,,2048.041428
24703650,5603,1380.132193,1380.13636,2458380.134,0.003953972,0.004166566,4.42E+30,796.9736297
24705603,5115,1349.3092,1349.368922,2458349.313,0.010155865,0.059722288,4.65E+32,8766.48976
24705603,5115,1347.521696,1347.53003,2458347.523,0.001130626,0.008333354,4.06E+30,165.3738378
